;;ICAS Method;;;LRGP Method;;
num;SMILES;Tc[k];Pc[bar];omega[-];Tc[k];Pc[bar];omega[-]
1152;FC(Cl)C(F)(F)Cl;481.32;39.46;0.27;461.61;36.12;0.23
1153;FC(F)C(F)(F)Cl;437.4;36.12;0.344;406.06;36.68;0.29
1154;FC(F)C(F)(F)F;387.55;33.95;0.331;339.37;36.19;0.30
1155;FC(F)(F)C(F)=O;442.39;43.97;0.363;317.38;36.98;0.38
1156;FC(F)(F)C(=O)N;761.2;45.52;0.481;488.88;43.38;0.48
1157;FC(F)(F)C(F)(F)Br;454.28;38.76;0.32;395.76;34.55;0.19
1158;FC(Cl)(Cl)C(Cl)(Cl)Cl;609.8;35.62;0.276;621.65;33.37;0.24
1159;FC(F)(F)C(Cl)(Cl)Cl;545.51;32.47;0.275;482.73;33.45;0.27
1160;FC(F)(F)C(F)(C(F)(F)F)C(F)(F)F;465.44;22.7;0.389;425.91;25.26;0.27
1161;CC1C=CCC2C1C(OC2=O)=O;849.93;39.74;0.558;805.35;38.39;0.58
1162;Nc1cc(ccc1)C(=O)N;871.9;53.95;0.748;864.76;46.54;0.68
1163;N#CCc(cc1)ccc1N;801.15;35.05;0.64;795.44;35.43;0.64
1164;CC(C)CCN=CCC(C)C;692.42;19.46;0.481;619.06;25.51;0.45
1165;Nc1ncc(Br)cc1Br;823.57;52.95;0.696;802.54;48.73;0.46
1166;FC(F)(F)C(F)(C(F)(F)C1(F)F)C(F)(F)C(F)(F)C1(F)F;62.42;16.42;0.53;531.33;18.45;0.52
1167;FC(F)(F)C(F)(F)C(F)(F)C(F)(C(F)(F)F)C(F)(F)F;512.99;18.58;0.515;499.91;15.06;0.49
1168;FC(F)(F)C(F)(F)C(F)(F)C(C)=O;535.26;27.02;0.486;459.54;23.18;0.47
1169;FC(F)(Cl)C(F)(F)C(F)(F)C(F)(F)Cl;475.8;24.98;0.39;447.85;19.55;0.38
1170;FC(F)(F)C(F)(F)C(F)(F)C(F)(F)F;383.71;22.88;0.389;386.45;23.19;0.37
1171;FC(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F;501.86;20.4;0.524;476.62;19.34;0.48
1172;FC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F;448.8;18.7;0.515;450.32;17.52;0.48
1173;FC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C;620.43;11.72;0.651;609.41;5.16;0.68
1174;FC1(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C1(F)F;439;19.4;0.467;485.95;26.03;0.44
1175;OCC(F)(F)C(F)(F)C(F)(F)C(F)(F)CO;648.53;31.09;1.321;620.54;27.42;0.75
1176;OCC(F)(F)C(F)(F)C(F)(F)C(F)F;587.44;29.92;0.848;535.07;27.50;0.56
1177;CN(C)C=CC#N;623.86;31.74;0.442;678.50;32.56;0.43
1178;CCOC(=O)N(CC)CC;601.4;28.08;0.561;628.09;29.92;0.43
1179;C=CCOC(Cn1ccnc1)c1ccc(Cl)cc1Cl;903.24;22.7;0.786;863.10;23.14;0.78
1180;COCCc1ccccc1;666.31;31.75;0.412;678.93;31.28;0.53
1181;FC1(F)C(F)(Cl)C(F)(Cl)C1(F)F;525.31;28.63;0.346;508.78;27.28;0.22
1182;CC(C)(C)C(C(C)(C)C)C(C)(C)C;639.82;18;0.417;666.44;24.10;0.44
1183;Clc1ccc(cc1Cl)NC(=O)NC;879.71;35.86;0.884;885.10;36.86;0.75
1184;Clc(ccc1Cl)cc1c1cc(Cl)ccc1Cl;906.73;30.29;0.614;848.08;22.76;0.48
1185;CC(CCc1ccc(OC(C)=O)cc1)=O;768.42;23.86;0.785;755.85;25.32;0.70
1186;CC1CC(C)CNC1;656.18;33.99;0.28;608.68;33.90;0.38
1187;CCCCOC(F)(F)C(F)F;559.93;26.14;0.478;480.81;24.14;0.53
1188;BrCC(F)Br;593.3;57.25;0.261;583.12;42.68;0.12
1189;FC=C(F)Br;504.6;49.72;0.355;423.51;46.17;0.15
1190;Cc1sccn1;655.45;55.94;0.278;614.46;49.83;0.36
1191;Cc1ncsc1C;667.99;44.33;0.298;642.66;47.06;0.29
1192;OCCCCCC=CCC;669.55;25.2;0.803;663.87;25.25;0.66
1193;CCC(F)C;466.05;36.91;0.272;439.06;28.72;0.29
1194;BrC=C(F)F;504.6;49.72;0.355;426.26;46.72;0.21
1195;ClC=C(F)F;493.68;44.75;0.226;400.54;44.62;0.21
1196;FC=C(F)F;383.86;42.84;0.403;333.75;49.95;0.25
1197;OCC(F)F;535.24;51.23;0.675;541.33;54.90;0.64
1198;COC(F)F;450.28;44.75;0.338;414.61;40.67;0.22
1199;FC(Cl)C(Cl)Cl;546.54;41.62;0.279;545.25;37.59;0.22
1200;FC(F)C(F)F;454.56;39.77;0.421;402.54;46.43;0.29
1201;FC(=O)C(F)=O;530.28;45.77;0.476;347.85;47.90;0.43
1202;FC(F)(F)C(F)C(F)(F)Cl;466.02;26.79;0.363;435.04;30.76;0.39
1203;FC(F)(F)P(O)C(F)(F)F;563.88;39.67;0.732;469.83;39.12;0.47
1204;CC(=O)CC(=O)c1cccnc1;791.02;33.29;0.707;806.55;32.17;0.73
1205;OCc1ccc(cc1)c1ccccc1;857.31;38.25;0.847;833.75;28.26;0.72
1206;FC(F)C(C(F)F)=O;528.71;37.87;0.447;471.56;39.54;0.46
1207;FC(F)(F)C(F)=C(F)C(F)(F)F;480.32;22.74;0.438;379.17;24.23;0.32
1208;CCSSSCC;698.79;33.84;0.405;637.67;34.28;0.42
1209;OCCOCCN1CCOCC1;768.72;30.97;0.619;727.27;29.45;0.73
1210;O=C1CCCCCCCCCCCCC1;835.6;23.74;0.652;764.65;22.26;0.67
1211;Oc1cccc2c1ccs2;819.15;48.26;0.566;817.12;43.77;0.47
1212;OC(C)C(O)C(O)C(O)C=O;825.98;59.34;1.787;907.85;44.55;0.89
1213;OCC(O)C(O)C(O)C(CO)=O;857.3;72.3;2.006;953.05;46.68;0.99
1214;CC(C)C(=O)NN;670.07;46.85;0.64;735.63;45.96;0.59
1215;Cc1ccc(cc1)C(=O)NN;823.28;42.33;0.775;844.86;38.29;0.71
1216;COCCCCl;581.46;37.69;0.356;580.45;36.81;0.34
1217;CC(CCCCCCCC=C)=O;687.55;21.3;0.604;681.76;20.83;0.69
1218;Cc(ncc1C2)nc1CS2;788.21;46.38;0.478;779.10;38.09;0.43
1219;CCCCCC(O)C=CC1C(CC=CCCCC(O)=O)C(CC1O)=O;954.45;15.7;1.781;907.45;19.58;1.09
1220;Fc1cc(F)c(F)c(F)c1F;527.28;34.75;0.378;523.93;36.44;0.40
1221;CCOC(C1C(C)(C)CC(CC1(C)C)=O)=C;798.66;18.6;0.581;716.54;18.97;0.74
1222;OC(c1ccccc1S1(=O)=O)=C(C(=O)Nc2ccccn2)N1C;651.3;15.91;0.935;971.15;38.19;0.93
1223;OC(CCC(=O)c1ccc(cc1)c1ccccc1)=O;948.28;29.01;1.061;889.22;24.95;0.98
1224;COc1ccccc1NC(c1ccc(cc1)C(=O)Nc1ccccc1OC)=O;1302.73;19.51;1.395;995.84;23.51;0.97
1225;CC(=O)c(ccc1C)cc1C;738.19;30.38;0.585;726.31;35.30;0.41
1226;OC(CC1(C)C)CC(C)(C)N1O;768.51;27.62;0.64;733.40;28.65;0.74
1227;CCCC(CCCC(O)=O)=O;765.53;28.38;0.873;785.79;26.81;0.76
1228;OCC1CCCC1;634.7;42.29;0.607;656.82;43.07;0.48
1229;CC(C)C1CC1;508.71;36.36;0.192;528.43;35.07;0.22
1230;C=CN(=O)=O;610.44;54.39;0.33;596.30;53.62;0.39
1231;CCC(O)(CC)C(O)=O;753.58;37.18;1.094;667.94;36.40;0.90
1232;Fc(ccc1F)cc1N(=O)=O;708.53;37.75;0.562;704.24;38.84;0.56
1233;Nc(ccc1F)cc1N(=O)=O;787.11;41.11;0.694;778.16;38.48;0.68
1234;CCCCCCCCCCCOC(=O)c1ccccc1C(OCCCCCCCCCCC)=O;911.16;10.24;0.572;891.19;9.34;1.39
1235;CCCCCCCOC(=O)c1ccccc1C(OCCCCCCC)=O;857.45;13.05;0.991;829.54;11.94;1.06
1236;CCC#CC(C)C;569.16;31.75;0.236;543.11;30.27;0.24
1237;CC1OC(C)=C(O)C1=O;754.77;45.04;0.891;720.59;44.75;0.57
1238;CSSSC;668.4;46.16;0.309;649.66;47.37;0.25
1239;c(cn1)ccc1c1ccccn1;839.12;45.03;0.472;797.53;41.84;0.37
1240;O=C1CCCCCCCCCCCCCCCC1;868.35;20.02;0.776;799.12;19.15;0.78
1241;Cc1cc(cc(C)c1)NC(=O)N(C)C;814.7;27.73;0.793;814.61;28.65;0.59
1242;CCNc1ccc(cc1)N(=O)=O;800.19;35.72;0.712;802.06;31.46;0.82
1243;OCCCCCCCCCCCCCCCC;761.78;15.43;1.093;769.00;14.76;0.78
1244;Fc1ccccc1F;552.73;42;0.28;560.51;43.23;0.29
1245;Fc1ccccc1O;677.37;54.34;0.42;661.48;52.46;0.50
1246;Nc(ccc1F)cc1Cl;731.6;42.08;0.482;702.24;40.68;0.50
1247;Fc(ccc1F)cc1F;551.08;39.34;0.312;543.44;40.34;0.32
1248;Fc(ccc1N)cc1F;686.94;42.96;0.47;729.47;43.28;0.38
1249;FCC(=O)NC;733.7;47.2;0.495;591.24;42.65;0.51
1250;CC(C)NC(=O)N(CC1=O)C(=O)N1c(cc1Cl)cc(Cl)c1;672.65;16.56;0.813;942.70;26.48;0.87
1251;Cc1cccc(cc2)c1c1c2cccc1C;897.06;25.5;0.534;884.40;26.65;0.55
1252;CC1(OCCO1)c1ccccc1;747.74;32.43;0.511;721.35;28.14;0.50
1253;Nc(ccc12)cc2C(=O)NC1=O;921.46;53.52;0.85;942.74;44.91;0.87
1254;Cc1cc(Cl)ncc1;685.24;42.99;0.346;688.50;45.14;0.35
1255;FS(c1ccccc1)(=O)=O;817.65;49.26;0.561;718.34;39.19;0.30
1256;FC(F)(F)c1cc(C#N)ccc1;715.79;29.45;0.531;637.52;23.44;0.48
1257;OC(C)(C)CC(CC(O)(C)C)=O;709.51;27.67;1.268;719.37;25.58;0.94
1258;CCC(C)C=CC;534.4;29.01;0.314;536.02;29.90;0.31
1259;FC(O)Cl;516.06;59.54;0.597;477.79;63.02;0.53
1260;COC(CC)CC;537.07;30.82;0.341;527.87;29.79;0.36
1261;CC(NCC(O)c(ccc1O)cc1C(=O)N)CCc1ccccc1;975.87;21.44;1.711;943.64;22.23;1.27
1262;Nc1cccc(c1N)N(=O)=O;851.07;48.06;0.84;874.61;45.50;0.87
1263;Cc1ccc(cc1)S(=O)(=O)NS(c(cc1)ccc1C)(=O)=O;667.02;15.44;0.795;858.21;29.54;0.59
1264;Cc1c2ccccc2c2ccc3ccccc3c2c1C;947.72;22.67;0.639;1003.80;26.11;0.64
1265;CCCCCCCCSCC;684.7;21.2;0.551;696.96;24.03;0.55
1266;CCCCCCCCSC;669.04;23.28;0.517;684.73;25.00;0.50
1267;CNC(C)Cc(cc1)ccc1O;765.21;33.82;0.729;774.29;34.10;0.82
1268;O=C(CC1c2ccccc2)CC(S1)c1ccccc1;918.39;24.57;0.621;913.93;20.27;0.72
1269;FCOC(F)(F)C(F)F;473.32;33.95;0.389;433.12;32.08;0.34
1270;Fc1ccc(N)cc1;692.5;46.1;0.437;732.53;49.83;0.34
1271;Fc1ccc(O)cc1;682.22;54.37;0.42;715.85;50.92;0.39
1272;FCCO;529.41;56.67;0.611;559.57;58.10;0.58
1273;FC(F)(F)SC(F)(F)F;456.31;37.87;0.324;376.85;30.56;0.26
1274;C=CCCCCC=C;571.55;27.36;0.353;564.99;27.41;0.38
1275;Cc1cc(C)oc1;582.17;38.99;0.367;549.71;40.89;0.35
1276;CCN(O)CC;578.81;36.23;0.635;574.69;41.29;0.69
1277;CC(C)NNC(C)C;552.79;32.26;0.534;616.75;31.67;0.42
1278;COCC(N)C;550.4;38.9;0.419;551.65;40.93;0.41
1279;CC(=O)Nc1c2ccccc2cc2ccccc12;990.21;28.08;0.905;960.53;23.91;0.73
1280;CCN(CC)CC(F)(F)F;534.92;22.07;0.377;537.01;27.99;0.35
1281;OC(CC#N)=O;767.1;47.39;0.717;701.48;58.14;0.68
1282;Fc1cc(F)ccc1;557.9;41.45;0.28;560.09;43.84;0.30
1283;Fc1cc(N)ccc1;690.76;45.44;0.437;714.85;49.52;0.45
1284;Fc1cc(O)ccc1;680.4;53.49;0.42;667.77;55.32;0.49
1285;Fc1cc(F)cc(F)c1;534.91;37.91;0.312;576.84;46.86;0.36
1286;FC1CCCCC1;562.89;37.53;0.262;526.12;25.88;0.19
1287;Fc1cccnc1;616.09;47.21;0.299;605.89;51.11;0.33
1288;Fc1ccccn1;588.69;47.21;0.299;611.57;52.16;0.35
1289;FCCCCF;515.7;35.93;0.378;503.28;33.89;0.33
1290;CCCC1CC(=O)C=C(C)C1;765.1;28.21;0.486;724.79;28.65;0.48
1291;OC(C1CCC1)=O;707.84;47.01;0.613;729.01;47.72;0.60
1292;CC1CCC(C)C(C)C1C;621.22;23.83;0.289;642.50;26.41;0.40
1293;CCC(CC1)CC1C;592.06;29.3;0.267;585.74;30.51;0.31
1294;NCCCCCC(=O)N;844.92;38.24;0.807;808.07;34.56;0.70
1295;FCCCCCC;541.5;29.75;0.379;497.48;24.46;0.27
1296;FCCCCCF;546.66;31.94;0.421;547.40;22.86;0.33
1297;NCCCCCCCCN;738.19;28;0.676;695.40;29.79;0.67
1298;FCBr;475.63;64.39;0.201;456.12;57.25;0.19
1299;FC(F)(F)S(F)(F)(F)(F)F;609.32;27.16;0.769;381.25;33.75;0.28
1300;CC(C)CCC(O)(C)C;609.32;27.16;0.769;592.23;26.44;0.58
1301;NCc1ccccn1;695.65;44.89;0.463;698.55;47.23;0.50
1302;NCc1cccnc1;713.27;44.89;0.463;714.30;48.05;0.54
1303;NCc1ccncc1;714.13;47.82;0.463;706.29;48.52;0.58
1304;CSC(=S)N(C)C;617.97;42.09;0.463;665.73;40.04;0.29
1305;COCCc(cc1)ccc1OCC(O)CNC(C)C;809.27;17.88;1.192;809.04;23.36;1.08
1306;OC(C)C(F)(F)F;499.24;37.44;0.62;468.25;37.46;0.45
1307;FC(F)(F)C(F)(Cl)Cl;447.95;32.14;0.242;418.46;32.97;0.25
1308;FC(F)(Br)C(F)(Cl)C=C;593.8;39.43;0.337;511.10;34.53;0.40
1309;NCC(F)(F)C(F)(F)C(F)(F)F;567.9;29.52;0.484;493.89;27.94;0.51
1310;CCCCCC1CCCC1;642.44;24.78;0.374;646.75;25.55;0.49
1311;CC(CC(C)=C)=O;590.18;34.24;0.379;598.47;33.76;0.37
1312;FC(F)C(F)(F)C(F)(F)C(F)(F)F;451.7;25.52;0.397;417.03;26.29;0.39
1313;FC(F)(F)C(F)(F)C(F)(F)C(O)=O;599.41;28.34;0.692;530.17;26.51;0.79
1314;FC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(O)=O;639.99;19.99;0.87;580.30;20.70;0.92
1315;FC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F;521.25;14.83;0.668;520.90;13.07;0.54
1316;FC1(F)C(F)(F)C(F)(F)C(F)(F)C1(F)F;377.12;22.55;0.406;490.08;24.13;0.39
1317;O=CN1CCCC1;664.71;46.26;0.435;695.53;48.25;0.38
1318;CCC(C)c1ccccc1OC(=O)NC;846.1;24.94;0.765;792.81;24.57;0.60
1319;CC1CCCNC1=O;762.01;44.2;0.396;780.49;42.82;0.43
1320;Clc(ccc1Cl)cc1c1ccccc1Cl;887.25;32.47;0.554;839.26;24.04;0.47
1321;Clc(ccc1c2ccccc2Cl)cc1Cl;887.25;32.47;0.554;857.26;26.62;0.51
1322;Clc(ccc1Cl)cc1c(cc1Cl)c(Cl)cc1Cl;925.24;28.48;0.675;870.62;24.26;0.55
1323;CCC(C)CC=C;532.87;29.29;0.303;531.97;29.93;0.31
1324;FC(F)C(F)(F)C(F)(F)C(F)F;504.17;28.83;0.405;457.55;27.80;0.41
1325;FC1(F)C(F)(F)C(F)(Cl)C1(F)F;334.01;27.77;0.345;451.85;26.89;0.24
1326;Nc1ocnn1;731.66;84.17;0.501;794.24;65.53;0.43
1327;CCc(nn1)oc1N;773.51;59.45;0.6;741.95;47.71;0.50
1328;CCCCCc1occc1;639.83;28.72;0.462;616.38;29.17;0.48
1329;CCCCCCCc1occc1;675.65;23.81;0.561;649.56;25.46;0.65
1330;FC(F)(F)C(F)(F)C(OC)=O;523.57;29.5;0.443;463.32;27.15;0.42
1331;Cc1oc2ccccc2c1C;734.07;34.52;0.466;717.43;35.50;0.40
1332;CC(C)CC1CCCC1;616.65;27.35;0.316;607.51;28.06;0.43
1333;CCCCCCCCC=CCCCCCCCCCCCC(OCC)=O;832.33;11.11;1.143;806.03;8.75;1.07
1334;CC(C)C(NC(C)=O)C(=O)N;819.93;35.69;0.91;818.13;31.99;0.66
1335;CC(CCC=C(C)CCC=C(C)C)=O;722.16;18.25;0.749;717.12;19.41;0.60
1336;FC(=C)C=C;446.6;41.45;0.261;444.76;34.25;0.14
1337;FC(F)C(O)=O;600.93;46.39;0.7;552.87;56.38;0.75
1338;CCC(C(F)(F)F)=O;514.17;32.07;0.367;486.02;33.62;0.47
1339;O=C(CC1)C=C1c1ccccc1;819.83;34.19;0.478;813.49;32.23;0.54
1340;CC(=O)c1sc(C)nc1C;788.65;39.46;0.551;726.64;38.46;0.44
1341;CCc1sc(C)nc1C;725.44;36.51;0.42;647.34;36.61;0.37
1342;COc(cn1)sc1C;701.28;46.59;0.399;657.27;46.04;0.47
1343;FC(F)OC(F)(F)F;340.38;31.98;0.416;354.42;33.76;0.35
1344;CC(C)(C)c(c1)nc(C(C)(C)C)cc1C;748.42;20.51;0.48;674.42;26.38;0.49
1345;CCOC(C(F)(F)F)=O;540.39;30.21;0.426;480.15;31.15;0.45
1346;OC(=O)CNC(C(F)(F)F)=O;722.97;41.46;0.999;675.40;33.35;0.76
1347;CN(C)c1ccc(N=Nc2cc(ccc2)N(=O)=O)cc1;1166.66;21;0.918;891.84;21.93;1.00
1348;Clc(ccc1Cl)cc1c(ccc1Cl)c(Cl)c1Cl;931.45;30.08;0.675;862.28;23.56;0.50
1349;Clc1ccc(c(Cl)c1Cl)c(ccc1Cl)c(Cl)c1Cl;953.77;29.86;0.735;840.56;23.11;0.47
1350;O=C(C1)C=C1c1ccccc1;806.92;37.4;0.434;792.32;34.28;0.51
1351;CCCCCCCCCCCCCCC(=O)N;876.07;16.72;0.984;797.83;15.06;0.95
1352;OCC(C)C=O;604.5;45.53;0.783;617.96;45.88;0.78
1353;Clc1ccccc1c(cccc1Cl)c1Cl;891.78;34.14;0.554;832.12;26.66;0.48
1354;Clc1ccc(cc1Cl)c1ccccc1Cl;887.25;32.47;0.554;849.12;26.47;0.46
1355;CC(CCC1C(C)(C)S)CC1=O;789.42;27.7;0.414;772.18;27.24;0.55
1356;CCCC(=O)C(C)=O;638.29;34.89;0.563;642.28;35.17;0.43
1357;OC(=O)c1c(F)cccc1F;750.35;40.44;0.732;666.05;42.45;0.58
1358;NC(C)C(C)(C)C;575.36;33.88;0.343;562.03;37.25;0.37
1359;OCCCC(C)CCCC;659.36;24.99;0.801;631.71;25.13;0.87
1360;OCCCCCC(C)CC;659.36;24.99;0.801;633.07;25.16;0.87
1361;COCCC(OC)=O;583.76;34.21;0.455;617.75;36.49;0.57
1362;CCc1cc(C(O)=O)cc(CC)c1;788.13;25.67;0.832;768.54;30.37;0.79
1363;OCc(cc1)oc1C;652.21;45.13;0.794;672.85;48.78;0.58
1364;N#CC1(CCCCC1)N1CCCCC1;794.84;24.2;0.508;845.65;20.82;0.50
1365;O=N(=O)C(Cc1ccccc1)(N(=O)=O)N(=O)=O;1158.38;39.06;1.007;758.54;28.18;0.64
1366;CC(=C)c1cnccn1;704.25;41;0.381;683.02;42.47;0.31
1367;OC1(C)CC(C2CC1)C2(C)C;657.63;29.12;0.539;705.29;32.36;0.61
1368;CC(C)C1CCCC1;589.3;30.68;0.272;591.95;30.58;0.31
1369;CCCSC;562.53;39.5;0.276;564.71;39.68;0.26
1370;CCOC(=O)Oc1ccccc1;739.34;31.61;0.567;709.10;30.45;0.51
1371;COC(CCC(O)=O)=O;731.48;37.53;0.785;727.01;38.28;0.73
1372;Fc1ccccc1c1ccccc1F;815.39;36.23;0.476;718.14;25.59;0.34
1373;CCc(cc1CC)cc(CC)c1CC;731.07;19.85;0.558;708.11;20.59;0.59
1374;CCCCCCCCCCCCCCCC(=O)N(C)C;827.8;13.68;0.928;813.55;12.27;0.78
1375;COCC(Cl)=O;597.52;46.75;0.414;623.00;48.48;0.49
1376;CCN(c1nc(C)ccc1C1=O)C=C1C(O)=O;931.23;29.7;0.535;844.44;28.40;0.87
1377;Clc(ccc12)cc2Oc2cc(Cl)ccc2O1;861.62;28.68;0.712;912.40;30.59;0.55
1378;FC(F)(F)S(=O)(=O)NC(c1ccccc1)=O;900.5;35.29;0.881;646.88;35.91;0.49
1379;FC(F)(F)S(=O)(=O)NC(c(cc1)ccc1N(=O)=O)=O;898.99;31.73;1.378;689.94;29.73;0.55
1380;Clc1ccc(cc1)C(=O)NS(C(F)(F)F)(=O)=O;913.15;32.4;0.893;671.70;35.61;0.52
1381;Fc1ccc(cc1)C(=O)NS(C(F)(F)F)(=O)=O;895.36;34.15;0.905;689.53;30.55;0.52
1382;COc1ccc(cc1)C(=O)NS(C(F)(F)F)(=O)=O;906.59;30.33;0.988;700.31;30.88;0.57
1383;CCCCCCC(CO)CCCC;707.4;19.7;0.922;670.74;19.31;1.07
1384;CCCCCCCC=CC=O;676.22;23.04;0.647;665.11;25.89;0.65
1385;C=COCC=C;513.09;37.25;0.317;494.59;36.57;0.30
1386;Fc1c(F)c(F)c(F)c(F)c1F;515.53;32.77;0.411;528.45;32.74;0.39
1387;FC(F)(F)c1ccccc1F;597.25;31.11;0.358;549.41;33.40;0.28
1388;Clc1cccc2c1Oc1ccccc1O2;840.21;30.7;0.649;844.97;32.05;0.51
1389;Clc(ccc1O2)cc1Oc1ccccc21;840.21;30.7;0.649;882.53;32.55;0.52
1390;Clc1cc(Cl)c2Oc3ccccc3Oc2c1Cl;881.21;26.9;0.776;866.33;26.20;0.55
1391;CCCCCCCCCCCCCCCCC(OC(C)C)=O;789.71;12.58;0.996;776.27;10.36;0.90
1392;ClC(=O)c1ccccc1F;724.48;39.97;0.484;662.08;34.98;0.46
1393;CCC(CC)Nc(c(cc1C)N(=O)=O)c(c1C)N(=O)=O;896.97;20.7;1.164;788.02;21.86;0.71
1394;CCCCNC(=O)n1c2ccccc2nc1NC(OC)=O;653.72;16.27;0.873;875.25;29.75;1.01
1395;OCCCCCCCCCO;721.04;26.68;1.18;769.12;29.39;0.69
1396;CCOC(C(C)(C)C)=O;594.81;28.3;0.4;573.43;26.80;0.36
1397;COCC(OCC)=O;583.76;34.21;0.455;610.21;35.36;0.33
1398;Fc1ccccc1C#N;690.17;39.17;0.464;632.64;34.93;0.42
1399;COC(=O)c(ccc1O)cc1OC;782.06;35.67;0.821;786.71;32.39;0.72
1400;OC(C)COC(C)C;587.08;33.22;0.757;568.59;31.13;0.73
1401;O=c(cc1c2ccccc2)c1=O;872.57;41.28;0.57;771.54;33.63;0.50
1402;CCOP(OCC)(Oc(nc1Cl)c(Cl)cc1Cl)=S;708.33;17.11;0.652;814.39;35.11;0.60
1403;CCC(C)Cc1ccccc1;674.69;26.38;0.41;674.68;26.97;0.40
1404;CCC(O)C(C)(C)C;598.84;30.82;0.678;589.52;30.17;0.41
1405;S=C1CCCO1;557.13;58.59;0.372;628.24;47.70;0.25
1406;CCn1cccc1C(C)=O;711.27;33.8;0.547;693.84;37.94;0.39
1407;CC(C)(C)CC=CC;560.11;26.22;0.313;556.77;24.84;0.33
1408;Nc1nc(C)cc(O)n1;810.26;67.95;0.789;833.55;54.86;0.70
1409;O=CCCCCCCCC=C;673.27;23.26;0.649;664.46;25.61;0.62
1410;CC(C)(C)c1ccncc1;690.41;31.85;0.338;695.03;33.39;0.40
1411;Fc1ccc(cc1)c(cc1)ccc1F;820.72;36.27;0.476;728.56;21.16;0.43
1412;Fc1ccccc1NC(C)=O;729.82;37.23;0.639;732.90;29.43;0.54
1413;CC(=O)c(cc1)ccc1N1CCOCC1;845;26.84;0.651;816.92;25.82;0.77
1414;CC(C)(C)OOCC=C;554.54;27.55;0.381;558.58;28.83;0.42
1415;OC(=O)CNC(CNC(C(F)(F)F)=O)=O;877.48;35.9;1.447;731.15;30.00;0.76
1416;OC1CSC(O)CS1;781.06;53.21;1.025;853.54;51.46;0.81
1417;Nc1scnn1;771.55;84.63;0.459;763.17;60.97;0.41
1418;Oc1c2ncccc2c(cc1)N(=O)=O;888.98;45.73;0.939;846.67;36.30;0.83
1419;O=N(=O)c1ccc(cc1)S(=O)(=O)NS(c(cc1)ccc1N(=O)=O)(=O)=O;590.69;13.98;1.565;903.46;37.32;0.82
1420;CCOC(C(F)Cl)=O;590.1;35.81;0.436;511.68;32.32;0.47
1421;CCOCC1OC1;584.57;36.16;0.355;575.25;37.83;0.45
1422;Oc1cccc(Cl)c1O;797.84;71.4;0.741;758.33;59.32;0.73
1423;FC(F)(F)c1cc(C(F)(F)F)ccc1;629.81;24.43;0.437;636.93;21.02;0.59
1424;FC(F)(F)c(cc1)ccc1F;597.25;31.11;0.358;634.48;28.42;0.40
1425;FC(F)(F)c(cc1)ccc1O;704.37;38.03;0.499;676.55;35.06;0.49
1426;Fc1cc(ccc1)N(=O)=O;712.01;39.72;0.5;705.83;37.44;0.58
1427;COC(=O)C=C1CCCC1;674.73;31.15;0.455;693.29;33.41;0.43
1428;Oc1ccc(cc1F)N(=O)=O;780.34;47.83;0.76;793.71;41.98;0.78
1429;CC(=O)c(cc1)ccc1F;703.96;36.12;0.511;745.86;32.13;0.47
1430;ClC(=O)c(cc1)ccc1F;728.44;39.99;0.484;714.96;32.31;0.50
1431;Fc1cc(C#N)ccc1;693.04;38.69;0.464;642.81;37.68;0.43
1432;CC(=O)N1CCCC1;679.92;39.56;0.443;726.81;39.33;0.37
1433;Cc1ccccc1SSc1ccccc1C;997.89;27.82;0.613;827.32;31.06;0.64
1434;CCCC(C)(C)CC(C)C;598.92;21.77;0.393;588.48;22.16;0.46
1435;CC(C)CCC(C)C(C)C;604.78;22.15;0.416;599.92;21.52;0.40
1436;CCCCC(C)CC(C)C;601.47;21.65;0.432;599.40;21.76;0.43
1437;OCC(C)CCCC(C)=C;660.89;25.89;0.78;646.12;26.79;0.66
1438;CCC(CC)C=C;528.71;29.51;0.315;528.20;30.20;0.30
1439;CC1CCC(C)C1=O;713.31;35.99;0.331;631.30;38.29;0.36
1440;OCCCCCCN;693.39;35.93;0.838;669.93;34.37;0.94
1441;CC(CCC=C)=C;542.68;30.22;0.301;541.70;30.02;0.29
1442;OC(=O)Cc(cc1)ccc1F;763.73;36.83;0.734;711.83;36.01;0.72
1443;Fc1ccc(C=C)cc1;634.54;35.78;0.331;624.13;32.38;0.27
1444;CCCC=CC;514.41;31.74;0.28;510.65;31.70;0.29
1445;C1CC=CC=CC1;591.86;42.15;0.219;602.60;43.53;0.29
1446;CCC(C)CCC=C(C)C;612.8;21.78;0.475;613.32;21.82;0.39
1447;NC1(C)CCCC1;609.25;39.7;0.33;600.60;40.79;0.37
1448;COC(C)(C)CCCC(C)CC=CC(C)=CC(OC(C)C)=O;795.31;13.35;0.802;737.06;14.16;0.86
